13,Traditional Luxury Exposed Free Standing Bath Drai,traditional-luxury-exposed-free-standing-bath-drai,Traditional Luxury Exposed Free Standing Bath Drainage Kit - Chrome,Traditional Luxury Exposed Free Standing Bath Drai,Traditional Luxury Exposed Free Standing Bath Drai,Traditional Luxury Exposed Free Standing Bath Drai,Traditional Luxury Exposed Free Standing Bath Drai,79.95,0,traditional-luxury-exposed-free.jpg,0,0,7,active,0,2019-09-01 15:44:21.380 +00:00,2019-09-01 15:44:21.380 +00:00
14,Orchard L shaped left handed shower bath,orchard-l-shaped-left-handed-shower-bath,Orchard L shaped left handed shower bath,Orchard L shaped left handed shower bath,Orchard L shaped left handed shower bath,Orchard L shaped left handed shower bath,Orchard L shaped left handed shower bath,179,0,orchard-l-shaped-left-handed-shower-bath.JPG,0,0,9,active,0,2019-09-01 15:44:21.380 +00:00,2019-09-01 15:44:21.380 +00:00
15,Apollo Back To Wall Modern Curved Bath,apollo-back-wall-modern-curved-bath,Apollo Back To Wall Modern Curved Bath (1700 x 800mm),Apollo Back To Wall Modern Curved Bath,Apollo Back To Wall Modern Curved Bath,Apollo Back To Wall Modern Curved Bath,Apollo Back To Wall Modern Curved Bath,599.95,0,apollo-back-wall-modern-curved-bath.JPG,0,0,12,active,0,2019-09-01 15:44:21.380 +00:00,2019-09-01 15:44:21.380 +00:00
16,Mode Ellis freestanding bath,mode-ellis-freestanding-bath,Mode Ellis freestanding bath 1800 x 870,Mode Ellis freestanding bath,Mode Ellis freestanding bath,Mode Ellis freestanding bath,Mode Ellis freestanding bath,350.2,0,mode-ellis-freestanding-bath.JPG,0,0,5,active,0,2019-09-01 15:44:21.380 +00:00,2019-09-01 15:44:21.380 +00:00
17,Orchard square edge single ended bath,orchard-square-edge-single-ended-bath,Orchard square edge single ended bath,Orchard square edge single ended bath,Orchard square edge single ended bath,Orchard square edge single ended bath,Orchard square edge single ended bath,107.2,0,orchard-square-edge-single-ended-bath.JPG,0,0,8,active,0,2019-09-01 15:44:21.381 +00:00,2019-09-01 15:44:21.381 +00:00
18,Appleby 1700 LH Roll Top Shower Bath,appleby-1700-lh-roll-top-shower-bath,Appleby 1700 LH Roll Top Shower Bath with Screen + Chrome Leg Set,Appleby 1700 LH Roll Top Shower Bath,Appleby 1700 LH Roll Top Shower Bath,Appleby 1700 LH Roll Top Shower Bath,Appleby 1700 LH Roll Top Shower Bath,499.95,0,appleby-1700-lh-roll-top-shower-bath.JPG,0,0,8,active,0,2019-09-01 15:44:21.381 +00:00,2019-09-01 15:44:21.381 +00:00
19,Rondo Wall Hung Small Cloakroom Basin,rondo-wall-hung-small-cloakroom-basin,Rondo Wall Hung Small Cloakroom Basin R/H 1TH - 365 x 180mm,Rondo Wall Hung Small Cloakroom Basin,Rondo Wall Hung Small Cloakroom Basin,Rondo Wall Hung Small Cloakroom Basin,Rondo Wall Hung Small Cloakroom Basin,44.95,0,rondo-wall-hung-small-cloakroom-basin.JPG,0,0,6,active,0,2019-09-01 15:44:21.381 +00:00,2019-09-01 15:44:21.381 +00:00
20,Roper Rhodes Esta 460mm Cloakroom Basin,roper-rhodes-esta-460mm-cloakroom-basin,Roper Rhodes Esta 460mm Cloakroom Basin - ESB45,Roper Rhodes Esta 460mm Cloakroom Basin,Roper Rhodes Esta 460mm Cloakroom Basin,Roper Rhodes Esta 460mm Cloakroom Basin,Roper Rhodes Esta 460mm Cloakroom Basin,120.7,0,roper-rhodes-esta-460mm-cloakroom-basin.JPG,0,0,8,active,0,2019-09-01 15:44:21.381 +00:00,2019-09-01 15:44:21.381 +00:00
21,Rio Oval Inset Basin 1TH - 520 x 460mm,rio-oval-inset-basin-1th-520-x-460mm,Rio Oval Inset Basin 1TH - 520 x 460mm,Rio Oval Inset Basin 1TH - 520 x 460mm,Rio Oval Inset Basin 1TH - 520 x 460mm,Rio Oval Inset Basin 1TH - 520 x 460mm,Rio Oval Inset Basin 1TH - 520 x 460mm,39.95,0,rio-oval-inset-basin-1th-520-x-460mm.JPG,0,0,8,active,0,2019-09-01 15:44:21.382 +00:00,2019-09-01 15:44:21.382 +00:00
22,Circuit breaker,circuit-breaker,"Circuit breaker, 60A",Circuit breaker,Circuit breaker,Circuit breaker,Circuit breaker,330,0,circuit-breaker.JPG,0,0,10,active,0,2019-09-01 15:44:21.382 +00:00,2019-09-01 15:44:21.382 +00:00
23,8 holes panel box/breaker box,8-holes-panel-boxbreaker-box,8 holes panel box/breaker box,8 holes panel box/breaker box,8 holes panel box/breaker box,8 holes panel box/breaker box,8 holes panel box/breaker box,1100,0,8-holes-panel-boxbreaker-box.JPG,0,0,8,active,0,2019-09-01 15:44:21.382 +00:00,2019-09-01 15:44:21.382 +00:00
24,"2 gang switch, with cover, window plate",2-gang-switch-cover-window-plate,"2 gang switch, with cover, window plate","2 gang switch, with cover, window plate","2 gang switch, with cover, window plate","2 gang switch, with cover, window plate","2 gang switch, with cover, window plate",185,0,2-gang-switch-cover-window-plate.JPG,0,0,23,active,0,2019-09-01 15:44:21.382 +00:00,2019-09-01 15:44:21.382 +00:00
25,"Recessed pinlight,",recessed-pinlight,"Recessed pinlight,","Recessed pinlight,","Recessed pinlight,","Recessed pinlight,","Recessed pinlight,",396,0,recessed-pinlight.JPG,0,0,12,active,0,2019-09-01 15:44:21.383 +00:00,2019-09-01 15:44:21.383 +00:00
26,LED flourescent lamp,led-flourescent-lamp,"LED flourescent lamp, recessed, with housing & diffusers",LED flourescent lamp,LED flourescent lamp,LED flourescent lamp,LED flourescent lamp,1450,0,led-flourescent-lamp.JPG,0,0,8,active,0,2019-09-01 15:44:21.383 +00:00,2019-09-01 15:44:21.383 +00:00
27,"Convenience outlet, 2-gang",convenience-outlet-2-gang,"Convenience outlet, 2-gang","Convenience outlet, 2-gang","Convenience outlet, 2-gang","Convenience outlet, 2-gang","Convenience outlet, 2-gang",185,0,convenience-outlet-2-gang.JPG,0,0,14,active,0,2019-09-01 15:44:21.383 +00:00,2019-09-01 15:44:21.383 +00:00
28,"Electrical tape, big",electrical-tape-big,"Electrical tape, big","Electrical tape, big","Electrical tape, big","Electrical tape, big","Electrical tape, big",38,0,electrical-tape-big.JPG,0,0,12,active,0,2019-09-01 15:44:21.383 +00:00,2019-09-01 15:44:21.383 +00:00
29,"Junction box, PVC, deep type",junction-box-pvc-deep-type,"Junction box, PVC, deep type","Junction box, PVC, deep type","Junction box, PVC, deep type","Junction box, PVC, deep type","Junction box, PVC, deep type",35,0,junction-box-pvc-deep-type.JPG,0,0,9,active,0,2019-09-01 15:44:21.384 +00:00,2019-09-01 15:44:21.384 +00:00
30,"Utility box, PVC, deep type",utility-box-pvc-deep-type,"Utility box, PVC, deep type","Utility box, PVC, deep type","Utility box, PVC, deep type","Utility box, PVC, deep type","Utility box, PVC, deep type",30,0,utility-box-pvc-deep-type.JPG,0,0,9,active,0,2019-09-01 15:44:21.384 +00:00,2019-09-01 15:44:21.384 +00:00
31,THIN electrical wire,thin-electrical-wire,THIN electrical wire,THIN electrical wire,THIN electrical wire,THIN electrical wire,THIN electrical wire,2970,0,thin-electrical-wire.JPG,0,0,9,active,0,2019-09-01 15:44:21.384 +00:00,2019-09-01 15:44:21.384 +00:00
32,"Flexible conduit, D-25mm",flexible-conduit-d-25mm,"Flexible conduit, D-25mm","Flexible conduit, D-25mm","Flexible conduit, D-25mm","Flexible conduit, D-25mm","Flexible conduit, D-25mm",900,0,flexible-conduit-d-25mm.JPG,0,0,9,active,0,2019-09-01 15:44:21.385 +00:00,2019-09-01 15:44:21.385 +00:00
33,"Conduit, PVC, D-25mm",conduit-pvc-d-25mm,"Conduit, PVC, D-25mm","Conduit, PVC, D-25mm","Conduit, PVC, D-25mm","Conduit, PVC, D-25mm","Conduit, PVC, D-25mm",78,0,conduit-pvc-d-25mm.JPG,0,0,9,active,0,2019-09-01 15:44:21.385 +00:00,2019-09-01 15:44:21.385 +00:00
34,Tex screw,tex-screw,Tex screw,Tex screw,Tex screw,Tex screw,Tex screw,3,0,tex-screw.JPG,0,0,8,active,0,2019-09-01 15:44:21.385 +00:00,2019-09-01 15:44:21.385 +00:00
35,Blind rivets (500's),blind-rivets-500s,Blind rivets (500's),Blind rivets (500's),Blind rivets (500's),Blind rivets (500's),Blind rivets (500's),290,0,blind-rivets-500s.JPG,0,0,6,active,0,2019-09-01 15:44:21.385 +00:00,2019-09-01 15:44:21.385 +00:00
36,Wall angle,wall-angle,Wall angle,Wall angle,Wall angle,Wall angle,Wall angle,75,0,wall-angle.JPG,0,0,6,active,0,2019-09-01 15:44:21.386 +00:00,2019-09-01 15:44:21.386 +00:00
37,C- channel,c-channel,C- channel,C- channel,C- channel,C- channel,C- channel,210,0,c-channel.JPG,0,0,8,active,0,2019-09-01 15:44:21.386 +00:00,2019-09-01 15:44:21.386 +00:00
38,"Metal furring, 0.5mm, 12mm x 38mm x 5m",metal-furring-05mm-12mm-x-38mm-x-5m,"Metal furring, 0.5mm, 12mm x 38mm x 5m","Metal furring, 0.5mm, 12mm x 38mm x 5m","Metal furring, 0.5mm, 12mm x 38mm x 5m","Metal furring, 0.5mm, 12mm x 38mm x 5m","Metal furring, 0.5mm, 12mm x 38mm x 5m",180,0,metal-furring-05mm-12mm-x-38mm-x-5m.JPG,0,0,8,active,0,2019-09-01 15:44:21.386 +00:00,2019-09-01 15:44:21.386 +00:00
39,"Light fiber cement board, 1/4"" x 4"" x 8'",light-fiber-cement-board-14-x-4-x-8,"Light fiber cement board, 1/4"" x 4"" x 8'","Light fiber cement board, 1/4"" x 4"" x 8'","Light fiber cement board, 1/4"" x 4"" x 8'","Light fiber cement board, 1/4"" x 4"" x 8'","Light fiber cement board, 1/4"" x 4"" x 8'",590,0,light-fiber-cement-board-14-x-4-x-8.JPG,0,0,14,active,0,2019-09-01 15:44:21.386 +00:00,2019-09-01 15:44:21.386 +00:00
40,"WC, Basin & Pedesta",wc-basin-pedesta,"WC, Basin & Pedesta","WC, Basin & Pedesta","WC, Basin & Pedesta","WC, Basin & Pedesta","WC, Basin & Pedesta",295,0,wc-basin-pedesta.JPG,0,0,8,active,0,2019-09-01 15:44:21.387 +00:00,2019-09-01 15:44:21.387 +00:00
41,Welding rod,welding-rod,Welding rod,Welding rod,Welding rod,Welding rod,Welding rod,140,0,welding-rod.JPG,0,0,16,active,0,2019-09-01 15:44:21.387 +00:00,2019-09-01 15:44:21.387 +00:00
42,Primer paint/red oxide,primer-paintred-oxide,Primer paint/red oxide,Primer paint/red oxide,Primer paint/red oxide,Primer paint/red oxide,Primer paint/red oxide,290,0,primer-paintred-oxide.JPG,0,0,15,active,0,2019-09-01 15:44:21.387 +00:00,2019-09-01 15:44:21.387 +00:00
43,"Grinding disc, 4""",grinding-disc-4,"Grinding disc, 4""","Grinding disc, 4""","Grinding disc, 4""","Grinding disc, 4""","Grinding disc, 4""",55,0,grinding-disc-4.JPG,0,0,14,active,0,2019-09-01 15:44:21.387 +00:00,2019-09-01 15:44:21.387 +00:00
44,"Metal cutting disc, 14""",metal-cutting-disc-14,"Metal cutting disc, 14""","Metal cutting disc, 14""","Metal cutting disc, 14""","Metal cutting disc, 14""","Metal cutting disc, 14""",300,0,metal-cutting-disc-14.JPG,0,0,23,active,0,2019-09-01 15:44:21.388 +00:00,2019-09-01 15:44:21.388 +00:00
45,"Tile cutting disc, 4""",tile-cutting-disc-4,"Tile cutting disc, 4""","Tile cutting disc, 4""","Tile cutting disc, 4""","Tile cutting disc, 4""","Tile cutting disc, 4""",500,0,tile-cutting-disc-4.JPG,0,0,16,active,0,2019-09-01 15:44:21.388 +00:00,2019-09-01 15:44:21.388 +00:00
46,Tile grout,tile-grout,Tile grout,Tile grout,Tile grout,Tile grout,Tile grout,85,0,tile-grout.JPG,0,0,35,active,0,2019-09-01 15:44:21.388 +00:00,2019-09-01 15:44:21.388 +00:00
47,Tile adhesive,tile-adhesive,Tile adhesive,Tile adhesive,Tile adhesive,Tile adhesive,Tile adhesive,240,0,tile-adhesive.JPG,0,0,15,active,0,2019-09-01 15:44:21.388 +00:00,2019-09-01 15:44:21.388 +00:00
48,0.40m x 0.40m non-slip granite tiles,040m-x-040m-non-slip-granite-tiles,0.40m x 0.40m non-slip granite tiles,0.40m x 0.40m non-slip granite tiles,0.40m x 0.40m non-slip granite tiles,0.40m x 0.40m non-slip granite tiles,0.40m x 0.40m non-slip granite tiles,160,0,040m-x-040m-non-slip-granite-tiles.JPG,0,0,43,active,0,2019-09-01 15:44:21.389 +00:00,2019-09-01 15:44:21.389 +00:00
49,"Latex paint, Raw siena",latex-paint-raw-siena,"Latex paint, Raw siena","Latex paint, Raw siena","Latex paint, Raw siena","Latex paint, Raw siena","Latex paint, Raw siena",170,0,latex-paint-raw-siena.JPG,0,0,16,active,0,2019-09-01 15:44:21.389 +00:00,2019-09-01 15:44:21.389 +00:00
50,"Latex paint, Thalo green",latex-paint-thalo-green,"Latex paint, Thalo green","Latex paint, Thalo green","Latex paint, Thalo green","Latex paint, Thalo green","Latex paint, Thalo green",170,0,latex-paint-thalo-green.JPG,0,0,8,active,0,2019-09-01 15:44:21.389 +00:00,2019-09-01 15:44:21.389 +00:00
51,"Latex paint, Tholudine red",latex-paint-tholudine-red,"Latex paint, Tholudine red","Latex paint, Tholudine red","Latex paint, Tholudine red","Latex paint, Tholudine red","Latex paint, Tholudine red",167,0,latex-paint-tholudine-red.JPG,0,0,9,active,0,2019-09-01 15:44:21.390 +00:00,2019-09-01 15:44:21.390 +00:00
52,"Latex paint, Hansa yellow",latex-paint-hansa-yellow,"Latex paint, Hansa yellow","Latex paint, Hansa yellow","Latex paint, Hansa yellow","Latex paint, Hansa yellow","Latex paint, Hansa yellow",180,0,latex-paint-hansa-yellow.JPG,0,0,14,active,0,2019-09-01 15:44:21.390 +00:00,2019-09-01 15:44:21.390 +00:00
53,Roller paint brush with pan,roller-paint-brush-pan,Roller paint brush with pan,Roller paint brush with pan,Roller paint brush with pan,Roller paint brush with pan,Roller paint brush with pan,145,0,roller-paint-brush-pan.JPG,0,0,14,active,0,2019-09-01 15:44:21.390 +00:00,2019-09-01 15:44:21.390 +00:00
54,Acrylic paint brush,acrylic-paint-brush,Acrylic paint brush,Acrylic paint brush,Acrylic paint brush,Acrylic paint brush,Acrylic paint brush,167,0,acrylic-paint-brush.JPG,0,0,13,active,0,2019-09-01 15:44:21.391 +00:00,2019-09-01 15:44:21.391 +00:00
55,Sand paper,sand-paper,Sand paper,Sand paper,Sand paper,Sand paper,Sand paper,210,0,sand-paper.JPG,0,0,9,active,0,2019-09-01 15:44:21.391 +00:00,2019-09-01 15:44:21.391 +00:00
56,Paint thinner,paint-thinner,Paint thinner,Paint thinner,Paint thinner,Paint thinner,Paint thinner,280,0,paint-thinner.JPG,0,0,16,active,0,2019-09-01 15:44:21.391 +00:00,2019-09-01 15:44:21.391 +00:00
57,"Semi-gloss latex, elastomeric",semi-gloss-latex-elastomeric,"Semi-gloss latex, elastomeric","Semi-gloss latex, elastomeric","Semi-gloss latex, elastomeric","Semi-gloss latex, elastomeric","Semi-gloss latex, elastomeric",630,0,semi-gloss-latex-elastomeric.JPG,0,0,16,active,0,2019-09-01 15:44:21.392 +00:00,2019-09-01 15:44:21.392 +00:00
58,Flat wall latex,flat-wall-latex,Flat wall latex,Flat wall latex,Flat wall latex,Flat wall latex,Flat wall latex,520,0,flat-wall-latex.JPG,0,0,8,active,0,2019-09-01 15:44:21.392 +00:00,2019-09-01 15:44:21.392 +00:00
59,Concrete putty,concrete-putty,Concrete putty,Concrete putty,Concrete putty,Concrete putty,Concrete putty,390,0,concrete-putty.JPG,0,0,9,active,0,2019-09-01 15:44:21.392 +00:00,2019-09-01 15:44:21.392 +00:00
60,Concrete nutralizer,concrete-nutralizer,Concrete nutralizer,Concrete nutralizer,Concrete nutralizer,Concrete nutralizer,Concrete nutralizer,250,0,concrete-nutralizer.JPG,0,0,12,active,0,2019-09-01 15:44:21.392 +00:00,2019-09-01 15:44:21.392 +00:00
61,Code 20G FD30 Fire Door,code-20g-fd30-fire-door,Code 20G FD30 Fire Door,Code 20G FD30 Fire Door,Code 20G FD30 Fire Door,Code 20G FD30 Fire Door,Code 20G FD30 Fire Door,199.7,0,code-20g-fd30-fire-door.jpg,0,0,11,active,0,2019-09-01 15:44:21.367 +00:00,2019-09-01 15:44:21.367 +00:00
